model,task,category,seed,status,end_state,tool_correctness,budget_respected,trajectory_judge,actual_turns,tool_call_count,tokens_in,tokens_out,error
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,2,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,3,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,4,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,5,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,6,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,7,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-grep-extract-and-write,fs,8,done,1.000,1.000,1.000,,3,2,3055,78,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,1,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,2,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,3,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,4,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,5,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,6,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,7,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-read-and-copy,fs,8,done,1.000,1.000,1.000,,3,2,2206,70,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,1,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,2,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,3,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,4,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,5,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,6,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,7,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,fs-write-csv-summary,fs,8,done,1.000,1.000,1.000,,3,2,2264,69,
qwen3-30b-a3b-moe,http-fetch-and-count,http,1,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,2,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,3,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,4,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,5,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,6,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,7,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-count,http,8,done,0.000,1.000,0.000,,5,5,7181,694,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,1,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,2,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,3,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,4,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,5,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,6,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,7,done,1.000,1.000,1.000,,3,2,2349,76,
qwen3-30b-a3b-moe,http-fetch-and-extract,http,8,done,1.000,1.000,1.000,,3,2,2349,76,
